i,kappa,V0,VT,ST,S0,K_payoff,payoff,alpha_step,beta_step
26,0.01,[89.1270066],[107.39959848],[457.51339722],[435.8692627],[435.8692627],[26.21926849],0.9755383624480582,1.031500761818298
27,0.01,[118.39711321],[122.18587718],[434.94842529],[422.62875366],[422.62875366],[16.66915588],0.9749038876984155,1.0549540649743174
28,0.01,[118.3347053],[104.68513882],[422.64816284],[430.00500488],[430.00500488],[7.25850407],0.9721062026558119,1.0549540649743174
29,0.01,[106.08678327],[112.85758968],[429.75296021],[421.40405273],[421.40405273],[17.36754829],0.9565173159533865,1.0549540649743174
30,0.01,[110.68499579],[99.19000631],[424.63977051],[439.66885376],[439.66885376],[4.51314348],0.9565173159533865,1.0549540649743174
31,0.01,[106.85760324],[115.1675792],[438.69329834],[424.46588135],[424.46588135],[20.82839942],0.9565173159533865,1.0549540649743174
32,0.01,[100.5923462],[121.67153966],[425.91662598],[399.57830811],[399.57830811],[30.59748413],0.9565173159533865,1.0549540649743174
33,0.01,[100.34510809],[95.49952271],[394.78601074],[398.59671021],[398.59671021],[9.71695575],0.9565173159533865,1.0549540649743174
34,0.01,[94.47765293],[114.00716643],[398.33691406],[375.28967285],[375.28967285],[27.03061035],0.9565173159533865,1.0549540649743174
35,0.01,[99.90810188],[79.74474537],[379.72979736],[396.86087036],[396.86087036],[2.03018311],0.9565173159533865,1.0549540649743174
36,0.01,[95.99604186],[106.52906868],[395.57623291],[381.32110596],[381.32110596],[19.55608016],0.9565173159533865,1.0549540649743174
37,0.01,[95.9488407],[89.95868769],[382.02093506],[381.13354492],[381.13354492],[11.88838792],0.9565173159533865,1.0549540649743174
38,0.01,[94.92076359],[99.01463022],[383.58602905],[377.04931641],[377.04931641],[15.00450957],0.9565173159533865,1.0549540649743174
39,0.01,[65.41415558],[103.40331178],[380.28417969],[341.27389526],[341.27389526],[42.81312622],0.9565173159533865,1.031793712808963
40,0.01,[71.06498413],[51.60177234],[349.23248291],[370.75497437],[370.75497437],[0.],0.9565173159533865,1.031793712808963
41,0.01,[79.50966318],[57.44314508],[375.01260376],[408.37026978],[408.37026978],[0.],0.9596887412892795,1.031793712808963
42,0.01,[70.67421818],[112.93696098],[407.57199097],[362.99047852],[362.99047852],[48.65723236],0.9596887412892795,1.031793712808963
43,0.01,[68.31730706],[73.00938744],[366.01269531],[358.8270874],[358.8270874],[13.03334271],0.9596887412892795,1.0304528660776089
44,0.01,[73.35931565],[68.83411217],[353.7833252],[378.59463501],[378.59463501],[0.],0.9630443810728383,1.0304528660776089
45,0.01,[75.65522651],[55.60311497],[380.13711548],[414.26922607],[414.26922607],[0.],0.9705210873832164,1.0268109708191493
46,0.01,[75.04708354],[84.41656422],[419.49255371],[410.93917847],[410.93917847],[13.88699602],0.9705210873832164,1.0268109708191493
47,0.01,[75.72016206],[61.4477167],[402.02450562],[414.14645386],[414.14645386],[0.],0.9759042848727457,1.0248353726907522
48,0.01,[78.86872657],[62.15982223],[415.50488281],[438.21124268],[438.21124268],[0.],0.9755594191905926,1.0242403119034587
49,0.01,[78.39463595],[84.94174511],[444.33349609],[435.57720947],[435.57720947],[13.81493982],0.9755594191905926,1.0242403119034587
50,0.01,[79.05617518],[75.39131467],[438.59472656],[439.25274658],[439.25274658],[7.05612369],0.9755594191905926,1.0242403119034587
51,0.01,[73.48521837],[90.78916149],[435.96258545],[415.96789551],[415.96789551],[24.3543158],0.9658212760821352,1.0242403119034587
52,0.01,[74.14078544],[61.19019294],[409.08685303],[419.68087769],[419.68087769],[0.],0.9658212760821352,1.0242403119034587
53,0.01,[73.82233833],[71.02214451],[416.20440674],[418.82815552],[418.82815552],[5.65276826],0.9655854966605368,1.0242403119034587
54,0.01,[71.24086012],[81.07866491],[417.84423828],[404.18222046],[404.18222046],[18.01474928],0.9655854966605368,1.0242403119034587
55,0.01,[69.48909094],[78.8988623],[407.37753296],[394.24353027],[394.24353027],[17.42280796],0.9655854966605368,1.0242403119034587
56,0.01,[67.94304627],[72.5984407],[396.4571228],[388.08856201],[388.08856201],[15.69712784],0.9423508017214177,1.0304597772461654
57,0.01,[68.22756867],[65.37118207],[389.07858276],[389.71374512],[389.71374512],[8.61159862],0.9423508017214177,1.0304597772461654
58,0.01,[117.96356919],[130.83978144],[388.41552734],[369.82281494],[369.82281494],[24.54241385],0.9423508017214177,1.0906032171052813
59,0.01,[115.26274015],[114.73864935],[368.56604004],[365.20541382],[365.20541382],[21.94348618],0.8905761824913188,1.0906032171052813
