i,kappa,V0,VT,ST,S0,K_payoff,payoff,alpha_step,beta_step
0,0.01,[233.78988872],[231.18107958],[687.55230713],[687.10351562],[687.10351562],[30.44706517],0.9414570985455678,1.1050193499563612
1,0.01,[230.94293841],[234.87213876],[683.53326416],[678.73638916],[678.73638916],[32.09230944],0.9414570985455678,1.1050193499563612
2,0.01,[224.18617939],[236.38848831],[672.63995361],[658.87841797],[658.87841797],[35.36965609],0.9414570985455678,1.1050193499563612
3,0.01,[227.11605421],[220.9197705],[656.34283447],[667.48925781],[667.48925781],[24.21441813],0.9414570985455678,1.1050193499563612
4,0.01,[225.61051641],[225.08259327],[667.49926758],[663.06451416],[663.06451416],[31.23490575],0.9414570985455678,1.1050193499563612
5,0.01,[214.42974608],[237.50150543],[659.94232178],[630.20446777],[630.20446777],[41.50592194],0.9414570985455678,1.1050193499563612
6,0.01,[213.97765901],[214.6901498],[632.74291992],[628.87579346],[628.87579346],[29.46741668],0.9414570985455678,1.1050193499563612
7,0.01,[202.48606196],[226.04058749],[623.57073975],[595.10223389],[595.10223389],[39.37328139],0.9414570985455678,1.1050193499563612
8,0.01,[196.07290089],[206.21073555],[589.28161621],[576.25408936],[576.25408936],[31.39348196],0.9414570985455678,1.1050193499563612
9,0.01,[177.36583279],[236.33811805],[586.13079834],[521.27441406],[521.27441406],[70.71769226],0.9414570985455678,1.1050193499563612
10,0.01,[99.69794786],[88.26160631],[508.05587769],[557.58807373],[557.58807373],[0.],0.9701965262934844,1.0248655856782156
11,0.01,[107.57673192],[69.62156692],[557.4041748],[601.65234375],[601.65234375],[0.],0.9701965262934844,1.0248655856782156
12,0.01,[106.28483563],[110.42245632],[604.16583252],[594.42706299],[594.42706299],[18.02851479],0.9701965262934844,1.0248655856782156
13,0.01,[105.88787995],[92.95314724],[589.03533936],[593.65130615],[593.65130615],[7.2688418],0.9708763580426083,1.0248655856782156
14,0.01,[102.63917018],[120.02357605],[596.1072998],[575.43774414],[575.43774414],[26.63062866],0.9708763580426083,1.0248655856782156
15,0.01,[100.00914123],[104.96465178],[582.9039917],[572.09753418],[572.09753418],[18.18469564],0.9708763580426083,1.0231173145196455
16,0.01,[96.11653544],[114.33005172],[572.04846191],[549.83001709],[549.83001709],[27.93892944],0.9708763580426083,1.0231173145196455
17,0.01,[95.81004111],[93.74028452],[551.4654541],[548.07672119],[548.07672119],[12.08521946],0.9708763580426083,1.0231173145196455
18,0.01,[94.20475791],[88.30723021],[542.88604736],[537.67565918],[537.67565918],[11.72035771],0.9834716189411147,1.0206954129480679
19,0.01,[93.81628982],[97.97382835],[541.27008057],[535.45849609],[535.45849609],[12.1249799],0.9834716189411147,1.0206954129480679
20,0.01,[90.55963055],[103.40039114],[534.1015625],[516.87091064],[516.87091064],[22.57166748],0.9834716189411147,1.0206954129480679
21,0.01,[85.44023738],[112.37497977],[516.12890625],[487.65197754],[487.65197754],[33.63821777],0.9834716189411147,1.0206954129480679
22,0.01,[87.63355239],[78.07444478],[488.65756226],[503.45739746],[503.45739746],[0.],0.9829535743013266,1.0206954129480679
23,0.01,[234.97487291],[230.34525867],[500.67507935],[486.13183594],[486.13183594],[19.5499942],0.9799391694316036,1.0199079715411508
24,0.01,[224.14602847],[223.62009738],[488.56491089],[463.72839355],[463.72839355],[29.72216644],0.9799391694316036,1.0199079715411508
25,0.01,[78.29263638],[80.00463406],[459.64083862],[456.76013184],[456.76013184],[9.75905865],0.9755383624480582,1.0229321785892715
