i,kappa,V0,VT,ST,S0,K_payoff,payoff,alpha_step,beta_step
0,0.009,[217.98129666],[215.93626887],[687.55230713],[687.10351562],[687.10351562],[30.00286876],0.9414570410322128,1.1050192812545172
1,0.009,[215.32686575],[219.53760413],[683.53326416],[678.73638916],[678.73638916],[31.62411151],0.9414570410322128,1.1050192812545172
2,0.009,[209.02717874],[221.18220147],[672.63995361],[658.87835693],[658.87835693],[34.85367211],0.9414570410322128,1.1050192812545172
3,0.009,[211.75895924],[205.90050562],[656.34277344],[667.48931885],[667.48931885],[23.8610945],0.9414570410322128,1.1050192812545172
4,0.009,[210.35520937],[210.46277487],[667.49926758],[663.0645752],[663.0645752],[30.7791913],0.9414570410322128,1.1050192812545172
5,0.009,[199.93028253],[222.87828784],[659.94232178],[630.20446777],[630.20446777],[40.90039423],0.9414570410322128,1.1050192812545172
6,0.009,[199.5087643],[200.59155072],[632.74298096],[628.87579346],[628.87579346],[29.03754128],0.9414570410322128,1.1050192812545172
7,0.009,[188.79432265],[211.96938357],[623.57073975],[595.10223389],[595.10223389],[38.79886673],0.9414570410322128,1.1050192812545172
8,0.009,[182.81491101],[192.88491515],[589.28161621],[576.25408936],[576.25408936],[30.93548154],0.9414570410322128,1.1050192812545172
9,0.009,[165.37264047],[223.12730627],[586.13079834],[521.27429199],[521.27429199],[70.13168353],0.9414570410322128,1.1050192812545172
10,0.009,[92.74830261],[83.31632414],[508.05584717],[557.58795166],[557.58795166],[0.],0.9701963237314093,1.0248655856782156
11,0.009,[100.07790257],[64.21446745],[557.40411377],[601.65228271],[601.65228271],[0.],0.9701963237314093,1.0248655856782156
12,0.009,[98.87607205],[103.35385901],[604.16577148],[594.42712402],[594.42712402],[17.57551547],0.9701963237314093,1.0248655856782156
13,0.009,[98.47453652],[86.633753],[589.03533936],[593.65136719],[593.65136719],[7.08301355],0.9708762410985073,1.0248655856782156
14,0.009,[95.453283],[112.79732867],[596.10736084],[575.43768311],[575.43768311],[26.03464398],0.9708762410985073,1.0248655856782156
15,0.009,[92.95321021],[98.27839446],[582.90393066],[572.09759521],[572.09759521],[17.71981953],0.9708762410985073,1.0231173145196455
16,0.009,[89.33522942],[107.45501688],[572.04846191],[549.83001709],[549.83001709],[27.36688098],0.9708762410985073,1.0231173145196455
17,0.009,[89.05036092],[87.48010815],[551.46557617],[548.07678223],[548.07678223],[11.7763777],0.9708762410985073,1.0231173145196455
18,0.009,[87.21392139],[82.47667934],[542.88598633],[537.67572021],[537.67572021],[11.27850153],0.9834714765722101,1.02069560214828
19,0.009,[86.83118774],[91.16304564],[541.2701416],[535.45855713],[535.45855713],[11.66795523],0.9834714765722101,1.02069560214828
20,0.009,[83.8106186],[96.88677499],[534.10162354],[516.87078857],[516.87078857],[22.03774957],0.9834714765722101,1.02069560214828
21,0.009,[79.0727928],[105.86852228],[516.12902832],[487.65206909],[487.65206909],[33.12212048],0.9834714765722101,1.02069560214828
22,0.009,[81.02075989],[72.19157551],[488.65756226],[503.45739746],[503.45739746],[0.],0.9829533371593575,1.02069560214828
23,0.009,[74.9254423],[87.14203588],[500.67507935],[486.13186646],[486.13186646],[19.0492886],0.9799390146671211,1.0199080515300432
24,0.009,[71.4725089],[95.13854855],[488.56488037],[463.72836304],[463.72836304],[29.23360126],0.9799390146671211,1.0199080515300432
25,0.009,[72.94974144],[74.85515374],[459.64086914],[456.76013184],[456.76013184],[9.47586293],0.9755383624480582,1.0229319249332511
26,0.009,[82.33072912],[100.57487798],[457.51339722],[435.86923218],[435.86923218],[25.76178561],0.9755383624480582,1.0315003495948123
27,0.009,[108.3149604],[112.91186662],[434.94845581],[422.62875366],[422.62875366],[16.23423825],0.9749040519494259,1.0549544115869602
28,0.009,[108.39922469],[95.75928787],[422.64813232],[430.0050354],[430.0050354],[7.06697206],0.9721061193542815,1.0549544115869602
29,0.009,[98.27683287],[104.93361204],[429.75299072],[421.40402222],[421.40402222],[17.04279892],0.9565177779743332,1.0549544115869602
30,0.009,[102.53641965],[91.7419592],[424.63977051],[439.66888428],[439.66888428],[4.42878675],0.9565177779743332,1.0549544115869602
31,0.009,[98.99088699],[107.53438415],[438.69326782],[424.46585083],[424.46585083],[20.4388817],0.9565177779743332,1.0549544115869602
32,0.009,[93.18679727],[114.12950653],[425.91662598],[399.57827759],[399.57827759],[30.17159802],0.9565177779743332,1.0549544115869602
33,0.009,[92.95786174],[88.56549687],[394.78594971],[398.59667969],[398.59667969],[9.53525373],0.9565177779743332,1.0549544115869602
34,0.009,[87.52249054],[106.74961076],[398.33694458],[375.28967285],[375.28967285],[26.63230423],0.9565177779743332,1.0549544115869602
35,0.009,[92.55304437],[73.53267186],[379.72976685],[396.86080933],[396.86080933],[1.99229382],0.9565177779743332,1.0549544115869602
36,0.009,[88.92899167],[99.38007497],[395.57620239],[381.32113647],[381.32113647],[19.19032083],0.9565177779743332,1.0549544115869602
37,0.009,[88.88526074],[83.63366251],[382.02093506],[381.13354492],[381.13354492],[11.66608469],0.9565177779743332,1.0549544115869602
38,0.009,[87.93273258],[92.21411818],[383.58599854],[377.04928589],[377.04928589],[14.72391827],0.9565177779743332,1.0549544115869602
39,0.009,[60.52742505],[98.11606248],[380.28421021],[341.27383423],[341.27383423],[42.43293387],0.9565177779743332,1.0317937101084782
40,0.009,[65.75611061],[47.5044014],[349.23248291],[370.75497437],[370.75497437],[0.],0.9565177779743332,1.0317937101084782
41,0.009,[73.34254993],[52.7290673],[375.01260376],[408.37026978],[408.37026978],[0.],0.9596885896914307,1.0317937101084782
42,0.009,[65.19243379],[106.78843131],[407.57196045],[362.99053955],[362.99053955],[48.24956854],0.9596885896914307,1.0317937101084782
43,0.009,[63.00416653],[67.97987192],[366.01266479],[358.82702637],[358.82702637],[12.77432121],0.9596885896914307,1.0304528684363028
44,0.009,[67.56975315],[63.49947455],[353.78338623],[378.59466553],[378.59466553],[0.],0.9630442330896252,1.0304528684363028
45,0.009,[70.36033885],[51.66472726],[380.13711548],[414.26916504],[414.26916504],[0.],0.9705207923731468,1.0268108889329122
46,0.009,[69.7947439],[79.11534075],[419.49261475],[410.93908691],[410.93908691],[13.53537318],0.9705207923731468,1.0268108889329122
47,0.009,[69.20811395],[55.94522001],[402.02456665],[414.14648438],[414.14648438],[0.],0.9759044502082231,1.024835599605709
48,0.009,[71.88729329],[56.24683608],[415.50488281],[438.21115112],[438.21115112],[0.],0.9755595879343194,1.024240135353267
49,0.009,[71.45516978],[78.20779246],[444.33346558],[435.57717896],[435.57717896],[13.41378899],0.9755595879343194,1.024240135353267
50,0.009,[72.05815562],[68.8973087],[438.59475708],[439.25268555],[439.25268555],[6.85126974],0.9755595879343194,1.024240135353267
51,0.009,[67.26430788],[84.21600935],[435.96261597],[415.96798706],[415.96798706],[23.91829245],0.965820890059878,1.024240135353267
52,0.009,[67.86471266],[55.84764526],[409.08679199],[419.68081665],[419.68081665],[0.],0.965820890059878,1.024240135353267
53,0.009,[67.59464638],[65.14997201],[416.20440674],[418.82815552],[418.82815552],[5.52544557],0.9655858567396289,1.024240135353267
54,0.009,[65.23097331],[75.03796332],[417.84429932],[404.18228149],[404.18228149],[17.60910573],0.9655858567396289,1.024240135353267
55,0.009,[63.62692171],[72.98799198],[407.37750244],[394.24349976],[394.24349976],[17.03049129],0.9655858567396289,1.024240135353267
56,0.009,[63.61689859],[68.33526132],[396.4571228],[388.08859253],[388.08859253],[15.4650159],0.9423512060063138,1.0304595453148069
57,0.009,[63.88330763],[61.3532829],[389.07861328],[389.71374512],[389.71374512],[8.48426607],0.9423512060063138,1.0304595453148069
58,0.009,[110.06226848],[123.04781387],[388.41543579],[369.82278442],[369.82278442],[24.17950987],0.9423512060063138,1.090602987000185
59,0.009,[109.75427528],[109.52777009],[368.56600952],[365.20541382],[365.20541382],[21.75969252],0.8905762377040511,1.090602987000185
