i,kappa,V0,VT,ST,S0,K_payoff,payoff,alpha_step,beta_step
0,0.0005,[102.19201112],[103.34036942],[687.55230713],[687.10351562],[687.10351562],[26.22712243],0.9414570985455678,1.1050193499563612
1,0.0005,[100.947568],[105.47781029],[683.53326416],[678.73638916],[678.73638916],[27.64433695],0.9414570985455678,1.1050193499563612
2,0.0005,[97.99412829],[107.46502944],[672.63995361],[658.87841797],[658.87841797],[30.46744556],0.9414570985455678,1.1050193499563612
3,0.0005,[99.27480712],[94.12026938],[656.34283447],[667.48925781],[667.48925781],[20.85831608],0.9414570985455678,1.1050193499563612
4,0.0005,[98.61671005],[102.55091937],[667.49926758],[663.06451416],[663.06451416],[26.90576884],0.9414570985455678,1.1050193499563612
5,0.0005,[93.72948979],[113.54941923],[659.94232178],[630.20446777],[630.20446777],[35.7532291],0.9414570985455678,1.1050193499563612
6,0.0005,[93.53187765],[95.89652083],[632.74291992],[628.87579346],[628.87579346],[25.38325256],0.9414570985455678,1.1050193499563612
7,0.0005,[88.50877956],[106.7264821],[623.57073975],[595.10223389],[595.10223389],[33.9161711],0.9414570985455678,1.1050193499563612
8,0.0005,[85.70552015],[93.77639434],[589.28161621],[576.25408936],[576.25408936],[27.04236649],0.9414570985455678,1.1050193499563612
9,0.0005,[77.52846465],[123.27958969],[586.13079834],[521.27441406],[521.27441406],[65.14944968],0.9414570985455678,1.1050193499563612
10,0.0005,[31.16676727],[37.0541041],[508.05587769],[557.58807373],[557.58807373],[0.],0.9701965262934844,1.0248655856782156
11,0.0005,[33.62976351],[18.7928449],[557.4041748],[601.65234375],[601.65234375],[0.],0.9701965262934844,1.0248655856782156
12,0.0005,[33.22586497],[39.92077375],[604.16583252],[594.42706299],[594.42706299],[13.72560164],0.9701965262934844,1.0248655856782156
13,0.0005,[32.89470527],[31.25015946],[589.03533936],[593.65130615],[593.65130615],[5.50382215],0.9708763580426083,1.0248655856782156
14,0.0005,[31.88541091],[45.4443025],[596.1072998],[575.43774414],[575.43774414],[20.96760931],0.9708763580426083,1.0248655856782156
15,0.0005,[30.26510969],[37.39677941],[582.9039917],[572.09753418],[572.09753418],[13.76908912],0.9708763580426083,1.0231173145196455
16,0.0005,[29.08713045],[44.82414286],[572.04846191],[549.83001709],[549.83001709],[22.50446906],0.9708763580426083,1.0231173145196455
17,0.0005,[28.99436046],[31.92648484],[551.4654541],[548.07672119],[548.07672119],[9.15068732],0.9708763580426083,1.0231173145196455
18,0.0005,[21.94365004],[29.06628971],[542.88604736],[537.67565918],[537.67565918],[7.52321511],0.9834716189411147,1.0206954129480679
19,0.0005,[21.85316767],[25.03520913],[541.27008057],[535.45849609],[535.45849609],[7.78293925],0.9834716189411147,1.0206954129480679
20,0.0005,[21.09455839],[34.6737483],[534.1015625],[516.87091064],[516.87091064],[17.49770264],0.9834716189411147,1.0206954129480679
21,0.0005,[19.90211378],[43.35486837],[516.12890625],[487.65197754],[487.65197754],[28.73499316],0.9834716189411147,1.0206954129480679
22,0.0005,[20.76815757],[18.16076472],[488.65756226],[503.45739746],[503.45739746],[0.],0.9829535743013266,1.0206954129480679
23,0.0005,[20.84215624],[31.6926823],[500.67507935],[486.13183594],[486.13183594],[14.79358095],0.9799391694316036,1.0199079715411508
24,0.0005,[19.88164123],[39.5151232],[488.56491089],[463.72839355],[463.72839355],[25.08079979],0.9799391694316036,1.0199079715411508
25,0.0005,[22.28200061],[24.52203718],[459.64083862],[456.76013184],[456.76013184],[7.06879017],0.9755383624480582,1.0229321785892715
26,0.0005,[25.22762424],[41.90685147],[457.51339722],[435.8692627],[435.8692627],[21.87289122],0.9755383624480582,1.031500761818298
27,0.0005,[32.14949539],[43.31688915],[434.94842529],[422.62875366],[422.62875366],[12.53714584],0.9749038876984155,1.0549540649743174
28,0.0005,[34.23205904],[30.21999173],[422.64816284],[430.00500488],[430.00500488],[5.43879231],0.9721062026558119,1.0549540649743174
29,0.0005,[40.84556047],[45.63779444],[429.75296021],[421.40405273],[421.40405273],[14.28259263],0.9565173159533865,1.0549540649743174
30,0.0005,[42.61592371],[36.56011671],[424.63977051],[439.66885376],[439.66885376],[3.7114847],0.9565173159533865,1.0549540649743174
31,0.0005,[41.14233176],[50.75526348],[438.69329834],[424.46588135],[424.46588135],[17.12870113],0.9565173159533865,1.0549540649743174
32,0.0005,[38.73004798],[57.94547608],[425.91662598],[399.57830811],[399.57830811],[26.55127618],0.9565173159533865,1.0549540649743174
33,0.0005,[38.63493978],[37.22037533],[394.78601074],[398.59671021],[398.59671021],[7.99095636],0.9565173159533865,1.0549540649743174
34,0.0005,[36.37581924],[52.07498806],[398.33691406],[375.28967285],[375.28967285],[23.24640967],0.9565173159533865,1.0549540649743174
35,0.0005,[38.46665716],[28.71820612],[379.72979736],[396.86087036],[396.86087036],[1.66956659],0.9565173159533865,1.0549540649743174
36,0.0005,[36.9604286],[46.65641609],[395.57623291],[381.32110596],[381.32110596],[16.08238087],0.9565173159533865,1.0549540649743174
37,0.0005,[36.94232663],[37.53069287],[382.02093506],[381.13354492],[381.13354492],[9.77668229],0.9565173159533865,1.0549540649743174
38,0.0005,[36.54639635],[41.87695419],[383.58602905],[377.04931641],[377.04931641],[12.33929477],0.9565173159533865,1.0549540649743174
39,0.0005,[25.24525015],[59.18467852],[380.28417969],[341.27389526],[341.27389526],[39.20042651],0.9565173159533865,1.031793712808963
40,0.0005,[27.42600064],[19.32189803],[349.23248291],[370.75497437],[370.75497437],[0.],0.9565173159533865,1.031793712808963
41,0.0005,[28.83106753],[19.73762732],[375.01260376],[408.37026978],[408.37026978],[0.],0.9596887412892795,1.031793712808963
42,0.0005,[25.62723974],[60.7999839],[407.57199097],[362.99047852],[362.99047852],[44.78529845],0.9596887412892795,1.031793712808963
43,0.0005,[24.92726732],[31.89152549],[366.01269531],[358.8270874],[358.8270874],[10.57232784],0.9596887412892795,1.0304528660776089
44,0.0005,[25.53589361],[25.57272745],[353.7833252],[378.59463501],[378.59463501],[0.],0.9630443810728383,1.0304528660776089
45,0.0005,[23.69314293],[18.1010415],[380.13711548],[414.26922607],[414.26922607],[0.],0.9705210873832164,1.0268109708191493
46,0.0005,[23.50266194],[30.47601742],[419.49255371],[410.93917847],[410.93917847],[10.5453016],0.9705210873832164,1.0268109708191493
47,0.0005,[21.26333343],[18.13231456],[402.02450562],[414.14645386],[414.14645386],[0.],0.9759042848727457,1.0248353726907522
48,0.0005,[22.30295054],[18.37317177],[415.50488281],[438.21124268],[438.21124268],[0.],0.9755594191905926,1.0242403119034587
49,0.0005,[22.16889607],[29.20022406],[444.33349609],[435.57720947],[435.57720947],[10.00426285],0.9755594191905926,1.0242403119034587
50,0.0005,[22.35595193],[24.42141621],[438.59472656],[439.25274658],[439.25274658],[5.10978093],0.9755594191905926,1.0242403119034587
51,0.0005,[24.30956849],[36.70390815],[435.96258545],[415.96789551],[415.96789551],[20.21267123],0.9658212760821352,1.0242403119034587
52,0.0005,[24.52655941],[20.20783255],[409.08685303],[419.68087769],[419.68087769],[0.],0.9658212760821352,1.0242403119034587
53,0.0005,[24.55424901],[24.13726506],[416.20440674],[418.82815552],[418.82815552],[4.44367451],0.9655854966605368,1.0242403119034587
54,0.0005,[23.69562395],[32.72613779],[417.84423828],[404.18222046],[404.18222046],[14.16150079],0.9655854966605368,1.0242403119034587
55,0.0005,[23.11296348],[31.03753569],[407.37753296],[394.24353027],[394.24353027],[13.69617221],0.9655854966605368,1.0242403119034587
56,0.0005,[31.3513877],[36.10284451],[396.4571228],[388.08856201],[388.08856201],[13.49277482],0.9423508017214177,1.0304597772461654
57,0.0005,[31.48267584],[31.37537187],[389.07858276],[389.71374512],[389.71374512],[7.40226888],0.9423508017214177,1.0304597772461654
58,0.0005,[51.75170199],[64.56551479],[388.41552734],[369.82281494],[369.82281494],[21.09591429],0.9423508017214177,1.0906032171052813
59,0.0005,[67.83176234],[69.65765816],[368.56604004],[365.20541382],[365.20541382],[20.19791211],0.8905761824913188,1.0906032171052813
