i,kappa,V0,VT,ST,S0,K_payoff,payoff,alpha_step,beta_step
0,0.001,[107.98345924],[108.99894944],[687.55230713],[687.10351562],[687.10351562],[26.44922468],0.9414570985455678,1.1050193499563612
1,0.001,[106.66849127],[111.24887845],[683.53326416],[678.73638916],[678.73638916],[27.87844077],0.9414570985455678,1.1050193499563612
2,0.001,[103.54767267],[113.23831502],[672.63995361],[658.87841797],[658.87841797],[30.72545664],0.9414570985455678,1.1050193499563612
3,0.001,[104.90093314],[99.77284658],[656.34283447],[667.48925781],[667.48925781],[21.03495303],0.9414570985455678,1.1050193499563612
4,0.001,[104.20553042],[107.97165725],[667.49926758],[663.06451416],[663.06451416],[27.13361815],0.9414570985455678,1.1050193499563612
5,0.001,[99.04134292],[119.09350314],[659.94232178],[630.20446777],[630.20446777],[36.05600241],0.9414570985455678,1.1050193499563612
6,0.001,[98.83253775],[101.17629911],[632.74291992],[628.87579346],[628.87579346],[25.59820857],0.9414570985455678,1.1050193499563612
7,0.001,[93.5247543],[112.08434403],[623.57073975],[595.10223389],[595.10223389],[34.20338743],0.9414570985455678,1.1050193499563612
8,0.001,[90.56263477],[98.80752086],[589.28161621],[576.25408936],[576.25408936],[27.27137257],0.9414570985455678,1.1050193499563612
9,0.001,[81.92215758],[128.43171986],[586.13079834],[521.27441406],[521.27441406],[65.44251508],0.9414570985455678,1.1050193499563612
10,0.001,[34.32658443],[39.53624525],[508.05587769],[557.58807373],[557.58807373],[0.],0.9701965262934844,1.0248655856782156
11,0.001,[37.03920147],[20.90900128],[557.4041748],[601.65234375],[601.65234375],[0.],0.9701965262934844,1.0248655856782156
12,0.001,[36.59445747],[43.18547529],[604.16583252],[594.42706299],[594.42706299],[13.95207075],0.9701965262934844,1.0248655856782156
13,0.001,[36.30213664],[34.04619138],[589.03533936],[593.65130615],[593.65130615],[5.59671792],0.9708763580426083,1.0248655856782156
14,0.001,[35.18835578],[49.08343452],[596.1072998],[575.43774414],[575.43774414],[21.26566296],0.9708763580426083,1.0248655856782156
15,0.001,[33.41924115],[40.50415164],[582.9039917],[572.09753418],[572.09753418],[14.00148946],0.9708763580426083,1.0231173145196455
16,0.001,[32.11845796],[48.06186915],[572.04846191],[549.83001709],[549.83001709],[22.79049329],0.9708763580426083,1.0231173145196455
17,0.001,[32.01602098],[34.6845993],[551.4654541],[548.07672119],[548.07672119],[9.30513638],0.9708763580426083,1.0231173145196455
18,0.001,[25.69071729],[31.98387195],[542.88604736],[537.67565918],[537.67565918],[7.74411736],0.9834716189411147,1.0206954129480679
19,0.001,[25.58478046],[28.92624251],[541.27008057],[535.45849609],[535.45849609],[8.0114677],0.9834716189411147,1.0206954129480679
20,0.001,[24.69664536],[38.29642608],[534.1015625],[516.87091064],[516.87091064],[17.76475342],0.9834716189411147,1.0206954129480679
21,0.001,[23.30053507],[47.1254437],[516.12890625],[487.65197754],[487.65197754],[28.99305762],0.9834716189411147,1.0206954129480679
22,0.001,[24.22309132],[21.25408887],[488.65756226],[503.45739746],[503.45739746],[0.],0.9829535743013266,1.0206954129480679
23,0.001,[23.85893137],[34.93029059],[500.67507935],[486.13183594],[486.13183594],[15.04391849],0.9799391694316036,1.0199079715411508
24,0.001,[22.75933781],[42.81170102],[488.56491089],[463.72839355],[463.72839355],[25.32508224],0.9799391694316036,1.0199079715411508
25,0.001,[25.04294746],[27.31357198],[459.64083862],[456.76013184],[456.76013184],[7.21038325],0.9755383624480582,1.0229321785892715
26,0.001,[28.30075336],[45.1523618],[457.51339722],[435.8692627],[435.8692627],[22.10164792],0.9755383624480582,1.031500761818298
27,0.001,[35.84445482],[46.60721321],[434.94842529],[422.62875366],[422.62875366],[12.75462006],0.9749038876984155,1.0549540649743174
28,0.001,[37.86051243],[33.30862134],[422.64816284],[430.00500488],[430.00500488],[5.53456661],0.9721062026558119,1.0549540649743174
29,0.001,[43.83213192],[48.76838941],[429.75296021],[421.40405273],[421.40405273],[14.44495872],0.9565173159533865,1.0549540649743174
30,0.001,[45.73193784],[39.42439926],[424.63977051],[439.66885376],[439.66885376],[3.75367727],0.9565173159533865,1.0549540649743174
31,0.001,[44.15060672],[53.72554642],[438.69329834],[424.46588135],[424.46588135],[17.3234221],0.9565173159533865,1.0549540649743174
32,0.001,[41.56193655],[60.91160018],[425.91662598],[399.57830811],[399.57830811],[26.7642345],0.9565173159533865,1.0549540649743174
33,0.001,[41.45995731],[39.90306295],[394.78601074],[398.59671021],[398.59671021],[8.08179844],0.9565173159533865,1.0549540649743174
34,0.001,[39.03556632],[54.99242313],[398.33691406],[375.28967285],[375.28967285],[23.44557812],0.9565173159533865,1.0549540649743174
35,0.001,[41.27928548],[30.98176761],[379.72979736],[396.86087036],[396.86087036],[1.6885464],0.9565173159533865,1.0549540649743174
36,0.001,[39.66292446],[49.42419545],[395.57623291],[381.32110596],[381.32110596],[16.26520715],0.9565173159533865,1.0549540649743174
37,0.001,[39.64341518],[39.87598512],[382.02093506],[381.13354492],[381.13354492],[9.88782469],0.9565173159533865,1.0549540649743174
38,0.001,[39.21859478],[44.50600772],[383.58602905],[377.04931641],[377.04931641],[12.47956923],0.9565173159533865,1.0549540649743174
39,0.001,[27.06203446],[61.24010066],[380.28417969],[341.27389526],[341.27389526],[39.3905686],0.9565173159533865,1.031793712808963
40,0.001,[29.39979618],[20.71107418],[349.23248291],[370.75497437],[370.75497437],[0.],0.9565173159533865,1.031793712808963
41,0.001,[31.09668699],[21.32207435],[375.01260376],[408.37026978],[408.37026978],[0.],0.9596887412892795,1.031793712808963
42,0.001,[27.64109471],[63.2608039],[407.57199097],[362.99047852],[362.99047852],[44.98908444],0.9596887412892795,1.031793712808963
43,0.001,[26.87036921],[33.73399193],[366.01269531],[358.8270874],[358.8270874],[10.70185494],0.9596887412892795,1.0304528660776089
44,0.001,[27.6785937],[27.47418236],[353.7833252],[378.59463501],[378.59463501],[0.],0.9630443810728383,1.0304528660776089
45,0.001,[26.16017454],[19.76589721],[380.13711548],[414.26922607],[414.26922607],[0.],0.9705210873832164,1.0268109708191493
46,0.001,[25.94988712],[33.10885933],[419.49255371],[410.93917847],[410.93917847],[10.72118025],0.9705210873832164,1.0268109708191493
47,0.001,[23.87622334],[20.10326488],[402.02450562],[414.14645386],[414.14645386],[0.],0.9759042848727457,1.0248353726907522
48,0.001,[25.02201859],[20.32240968],[415.50488281],[438.21124268],[438.21124268],[0.],0.9755594191905926,1.0242403119034587
49,0.001,[24.87157357],[31.96047828],[444.33349609],[435.57720947],[435.57720947],[10.20482479],0.9755594191905926,1.0242403119034587
50,0.001,[25.08143842],[26.83029501],[438.59472656],[439.25274658],[439.25274658],[5.21222003],0.9755594191905926,1.0242403119034587
51,0.001,[26.46392318],[39.17136252],[435.96258545],[415.96789551],[415.96789551],[20.43065253],0.9658212760821352,1.0242403119034587
52,0.001,[26.70014355],[21.93947972],[409.08685303],[419.68087769],[419.68087769],[0.],0.9658212760821352,1.0242403119034587
53,0.001,[26.71458173],[26.20603931],[416.20440674],[418.82815552],[418.82815552],[4.50731102],0.9655854966605368,1.0242403119034587
54,0.001,[25.78040154],[34.88403395],[417.84423828],[404.18222046],[404.18222046],[14.36430334],0.9655854966605368,1.0242403119034587
55,0.001,[25.14647159],[33.19052731],[407.37753296],[394.24353027],[394.24353027],[13.89231094],0.9655854966605368,1.0242403119034587
56,0.001,[33.08604099],[37.86377196],[396.4571228],[388.08856201],[388.08856201],[13.6087934],0.9423508017214177,1.0304597772461654
57,0.001,[33.22458355],[32.99123445],[389.07858276],[389.71374512],[389.71374512],[7.46591782],0.9423508017214177,1.0304597772461654
58,0.001,[54.69750335],[67.54693265],[388.41552734],[369.82281494],[369.82281494],[21.27730901],0.9423508017214177,1.0906032171052813
59,0.001,[70.07864195],[71.7983424],[368.56604004],[365.20541382],[365.20541382],[20.28978443],0.8905761824913188,1.0906032171052813
